auctionId,highestBid,itemName,tag,end,startingBid,bin
dceb5715621d42919821ceef4549dbba,0,Smart Zombie Knight Chestplate,ZOMBIE_KNIGHT_CHESTPLATE,2023-10-14T04:34:59,270000,True
064d96a88a084f4da145a3e4b770cdb1,900000,Hero Skin,BAT_PERSON_HERO,2023-10-05T10:00:31,900000,True
604fdaba5f95420d8f685ff9576297d4,3000000,Necrotic Spirit Boots ✪✪✪,THORNS_BOOTS,2023-10-05T06:32:42,3000000,True
4f6fca39be364154971b517553dd60c7,1900000,Dynamite Endermite Skin,PET_SKIN_ENDERMITE_DYNAMITE,2023-10-05T04:30:04,1900000,True
14bcc21a5cac44ac84a324013202327a,900000,Green Jerry Talisman,JERRY_TALISMAN_GREEN,2023-10-04T01:58:54,900000,True
eb6b881f82a0435bad62f3f6f3b97028,0,Mythic Bouncy Boots,BOUNCY_BOOTS,2023-10-03T05:20:22,1150000,True
36c9435d5561436181b0c6e01d077e85,3200000,Ancient Golden Livid Head ✪✪✪✪✪,GOLD_LIVID_HEAD,2023-10-02T12:56:10,3200000,True
89ac867eb1054313921d660023b5d936,0,Lesser Orb of Healing,LESSER_ORB_OF_HEALING,2023-10-02T09:07:31,40000,True
d321507f800b4596b6e4db2cb10ae86f,50000,Lava Talisman,LAVA_TALISMAN,2023-09-27T06:09:53,50000,True
9372d925a3694ca199a46dd04244b74d,280000,Aspect of the End,ASPECT_OF_THE_END,2023-09-26T02:18:42,280000,True
