auctionId,highestBid,itemName,tag,end,startingBid,bin
8dc82f2b1f0846b5840861992b2db199,0,Basic Gardening Hoe,BASIC_GARDENING_HOE,2023-11-02T04:48:56,70000,True
d8cc4bbeeb084f0b9645f58926980d35,0,Basic Gardening Hoe,BASIC_GARDENING_HOE,2023-11-02T04:48:49,70000,True
a68e44c93cf1499391ae121841136e3a,0,Basic Gardening Hoe,BASIC_GARDENING_HOE,2023-11-02T04:48:44,70000,True
9fbec528f0da46768f65159826258605,0,Basic Gardening Hoe,BASIC_GARDENING_HOE,2023-11-02T04:48:15,70000,True
ddeceb4f9b214eff811ed140af013788,0,Basic Gardening Hoe,BASIC_GARDENING_HOE,2023-11-02T04:48:09,70000,True
c4ddf9bd21544dd0838bcc6b7da82d52,0,Basic Gardening Hoe,BASIC_GARDENING_HOE,2023-11-02T04:48:03,70000,True
0364030d18354b0598785e8efd3f452b,0,Basic Gardening Hoe,BASIC_GARDENING_HOE,2023-11-02T04:47:49,70000,True
7b7442a82ac74768b83e68a7ad4fe562,0,Basic Gardening Hoe,BASIC_GARDENING_HOE,2023-11-02T04:47:42,70000,True
8d28bb83705245e0a94d2aba80a818a6,4700000,Jumbo Backpack Upgrade,JUMBO_BACKPACK_UPGRADE,2023-11-01T23:05:08,4700000,True
92ea04afcda04e62adf7d63f233c17cb,4700000,Jumbo Backpack Upgrade,JUMBO_BACKPACK_UPGRADE,2023-11-01T23:01:00,4700000,True
