auctionId,highestBid,itemName,tag,end,startingBid,bin
17544e781540489ca354e035a22392fc,11900000,Sorrow Chestplate,SORROW_CHESTPLATE,2023-10-31T21:32:46,11900000,True
80447713850142d8b7f396e1c3440098,6000000,Sorrow Boots,SORROW_BOOTS,2023-10-31T21:10:22,6000000,True
0d79ce1448794c269653e0576556779f,10000000,Sorrow Leggings,SORROW_LEGGINGS,2023-10-31T21:03:54,10000000,True
90fd6c37e92e49d0a2763ee65ca54b36,7000000,Wise Sorrow Helmet,SORROW_HELMET,2023-10-31T21:03:44,7000000,True
9e1436d26a394c56853c8086213e4e52,1500000,God Potion,GOD_POTION_2,2023-10-30T19:32:44,1500000,True
61198d08f00b4e0b83b776d411e71a6c,1500000,God Potion,GOD_POTION_2,2023-10-30T18:46:53,1500000,True
e979c86e29be444f880a3952ee2ef3c9,1500000,God Potion,GOD_POTION_2,2023-10-30T18:46:45,1500000,True
9573b4aeb24b4f1280f774bca52b07f2,1500000,God Potion,GOD_POTION_2,2023-10-30T18:46:40,1500000,True
360a6460763d4a71bbeb7543047a509e,1500000,§cGod Potion,GOD_POTION_2,2023-10-30T18:46:20,0,True
b94ccb0f9bb543908feced3839223d1d,1500000,§cGod Potion,GOD_POTION_2,2023-10-30T18:46:00,0,True
